roomId,sales,shortage
70,28,0
71,722,45
72,23,0
73,1906,218
74,25,0
75,22,0
76,22,0
77,2,0
78,21,0
79,3260,1136
80,753,33
81,2164,228
82,1,0
83,75,0
84,2258,790
85,730,26
86,22,0
87,2408,704
88,0,0
89,2,0
90,22,0
91,601,22
92,1,0
93,388,3
94,1085,107
95,2594,682
96,50,1
97,536,49
98,813,65
99,3156,956
roomId,sales,shortage
0,2286,762
1,2,0
2,2224,652
3,607,41
4,22,0
5,51,1
6,582,70
7,95,0
8,947,101
9,855,68
10,2242,826
11,2596,912
12,1998,654
13,32,0
14,78,0
15,45,0
16,35,0
17,0,0
18,27,0
19,802,93
20,2974,1070
21,1650,762
22,22,0
23,3,0
24,1472,560
25,3,0
26,475,66
27,609,12
28,822,91
29,60,0
30,1730,798
31,2468,592
32,0,0
33,0,0
34,63,1
35,2112,636
36,2,0
37,670,37
38,567,38
39,46,0
40,412,21
41,1530,322
42,891,117
43,609,49
44,537,53
45,22,0
46,1798,638
47,390,2
48,1,0
49,2734,698
50,2366,906
51,70,0
52,25,0
53,756,84
54,2242,1270
55,43,0
56,824,88
57,26,0
58,2,0
59,0,0
60,1830,514
61,24,0
62,4,0
63,1,0
64,2550,1062
65,444,20
66,16,0
67,1,0
68,64,0
69,660,65
70,658,25
71,1982,354
72,3,0
73,47,0
74,1,0
75,728,86
76,896,78
77,1690,394
78,2,0
79,26,0
80,1,0
81,339,17
82,2490,1226
83,1862,922
84,2534,1062
85,1698,662
86,49,1
87,2526,934
88,4,0
89,25,0
90,25,0
91,634,45
92,531,40
93,1858,714
94,948,129
95,343,14
96,870,81
97,2450,1062
98,572,16
99,0,0
roomId,sales,shortage
0,51,0
1,3,0
2,604,29
3,744,37
4,1822,454
5,26,0
6,2,0
7,27,0
8,1912,476
9,49,0
10,25,0
11,429,13
12,459,13
13,837,63
14,1786,286
15,2456,724
16,50,0
17,24,0
18,0,0
19,934,113
20,23,0
21,1774,326
22,738,64
23,676,58
24,1009,86
25,563,19
26,0,0
27,32,2
28,950,134
29,547,36
30,918,66
31,27,0
32,24,0
33,759,38
34,383,4
35,734,46
36,1912,536
37,1958,802
38,23,0
39,2,0
40,2384,636
41,1702,406
42,31,0
43,1,0
44,2482,658
45,53,0
46,2084,628
47,30,0
48,60,2
49,1692,316
50,66,1
51,73,0
52,72,2
53,2068,604
54,49,5
55,2052,892
56,461,7
57,1,0
58,622,39
59,52,0
60,44,0
61,85,0
62,2270,474
63,559,23
64,20,0
65,3,0
66,29,0
67,608,26
68,23,1
69,679,58
70,2606,782
71,2282,446
72,615,23
73,2874,922
74,502,49
75,26,0
76,580,22
77,49,0
78,21,0
79,562,31
80,1912,348
81,57,0
82,1542,282
83,0,0
84,2544,960
85,2,0
86,34,0
87,29,0
88,492,23
89,1756,464
90,478,10
91,507,19
92,22,0
93,626,33
94,2408,624
95,485,10
96,1026,122
97,887,48
98,0,0
99,525,63
roomId,sales,shortage
0,1,0
1,3,0
2,946,66
3,531,44
4,2108,488
5,0,0
6,1,0
7,51,0
8,2392,680
9,54,0
10,25,0
11,1007,63
12,630,63
13,637,29
14,2114,1026
15,2430,1038
16,37,0
17,28,0
18,2,0
19,572,34
20,0,0
21,1526,278
22,366,13
23,638,41
24,718,44
25,601,61
26,50,0
27,26,0
28,511,26
29,346,22
30,732,43
31,45,1
32,22,0
33,830,129
34,596,27
35,427,12
36,2914,1342
37,2692,952
38,26,0
39,21,0
40,1732,540
41,2442,1254
42,23,0
43,54,0
44,1700,660
45,22,0
46,1824,636
47,25,0
48,20,0
49,1810,346
50,23,3
51,1,0
52,2,0
53,2800,1032
54,0,0
55,2080,896
56,652,47
57,24,0
58,875,65
59,48,1
60,19,0
61,36,0
62,3310,1298
63,868,91
64,27,0
65,40,0
66,83,1
67,741,54
68,81,1
69,395,2
70,2240,460
71,2086,646
72,355,7
73,2878,934
74,648,64
75,32,0
76,506,32
77,84,1
78,27,0
79,844,67
80,1636,660
81,1,0
82,1744,384
83,2,0
84,2204,440
85,18,0
86,26,3
87,64,0
88,784,110
89,1568,312
90,521,48
91,750,41
92,81,0
93,558,41
94,2478,670
95,614,34
96,595,61
97,592,17
98,26,0
99,515,15
roomId,sales,shortage
0,29,0
1,22,0
2,447,3
3,730,53
4,2696,1316
5,0,0
6,23,0
7,2,0
8,2436,520
9,20,0
10,1,0
11,438,11
12,565,70
13,505,14
14,2226,938
15,2318,1006
16,2,0
17,22,0
18,20,0
19,342,15
20,1,0
21,2582,1002
22,741,96
23,573,13
24,793,90
25,502,19
26,24,0
27,51,0
28,737,59
29,404,16
30,530,19
31,70,0
32,51,0
33,430,10
34,653,49
35,449,28
36,1668,400
37,1476,380
38,24,0
39,3,0
40,2688,664
41,1822,414
42,24,0
43,2,0
44,2418,666
45,93,0
46,2418,766
47,33,0
48,3,0
49,2596,864
50,32,0
51,1,0
52,27,0
53,1322,190
54,24,1
55,2396,1160
56,552,26
57,58,1
58,857,57
59,23,0
60,20,0
61,0,0
62,2090,690
63,906,65
64,69,2
65,47,0
66,22,0
67,503,69
68,26,0
69,672,64
70,2074,642
71,2166,798
72,492,9
73,1960,384
74,721,79
75,0,0
76,960,89
77,21,0
78,28,0
79,1089,110
80,1634,374
81,32,0
82,2654,898
83,42,0
84,1858,558
85,27,1
86,27,0
87,26,0
88,641,75
89,1578,290
90,636,5
91,660,26
92,43,0
93,663,82
94,1794,262
95,582,14
96,1005,85
97,500,12
98,1,0
99,591,14
